Date,BTC-USD,QQQ,SPY,XLE
2015-01-02,315.0320129394531,94.78443145751953,170.589599609375,25.71498680114746
2015-01-03,281.0820007324219,94.78443145751953,170.589599609375,25.71498680114746
2015-01-04,264.19500732421875,94.78443145751953,170.589599609375,25.71498680114746
2015-01-05,274.4739990234375,93.39407348632812,167.50881958007812,24.651206970214844
2015-01-06,286.1889953613281,92.14181518554688,165.93112182617188,24.289072036743164
2015-01-07,294.3370056152344,93.32960510253906,167.99874877929688,24.340805053710938
2015-01-08,283.3489990234375,95.11589813232422,170.97988891601562,24.887243270874023
2015-01-09,290.4079895019531,94.48978424072266,169.60977172851562,24.69000816345215
2015-01-10,274.7959899902344,94.48978424072266,169.60977172851562,24.69000816345215
2015-01-11,265.6600036621094,94.48978424072266,169.60977172851562,24.69000816345215
2015-01-12,267.7959899902344,93.50457000732422,168.28109741210938,23.978666305541992
2015-01-13,225.86099243164062,93.47693634033203,167.80775451660156,23.787893295288086
2015-01-14,178.10299682617188,92.9612808227539,166.794677734375,23.862260818481445
2015-01-15,209.843994140625,91.75509643554688,165.2667694091797,23.558324813842773
2015-01-16,208.0970001220703,92.83241271972656,167.43406677246094,24.324634552001953
2015-01-17,199.25999450683594,92.83241271972656,167.43406677246094,24.324634552001953
2015-01-18,210.33900451660156,92.83241271972656,167.43406677246094,24.324634552001953
2015-01-19,214.86099243164062,92.83241271972656,167.43406677246094,24.324634552001953
2015-01-20,211.31500244140625,93.56900024414062,167.79116821289062,24.35373878479004
2015-01-21,226.89700317382812,94.04781341552734,168.63816833496094,24.848445892333984
2015-01-22,233.406005859375,95.78807067871094,171.14596557617188,24.964841842651367
2015-01-23,232.87899780273438,95.99984741210938,170.20767211914062,24.78700828552246
2015-01-24,247.8470001220703,95.99984741210938,170.20767211914062,24.78700828552246
2015-01-25,253.71800231933594,95.99984741210938,170.20767211914062,24.78700828552246
2015-01-26,273.4729919433594,95.88932037353516,170.6062469482422,25.142690658569336
2015-01-27,263.4750061035156,93.4032974243164,168.35585021972656,25.12650489807129
2015-01-28,233.9149932861328,92.9244613647461,166.19679260253906,24.137100219726562
2015-01-29,233.51300048828125,93.8176040649414,167.73300170898438,24.217931747436523
2015-01-30,226.4250030517578,93.0902099609375,165.62380981445312,24.4281005859375
2015-01-31,217.46400451660156,93.0902099609375,165.62380981445312,24.4281005859375
2015-02-01,226.9720001220703,93.0902099609375,165.62380981445312,24.4281005859375
2015-02-02,238.22900390625,93.90047454833984,167.67494201660156,25.175016403198242
2015-02-03,227.26800537109375,94.80281066894531,170.09967041015625,25.863718032836914
2015-02-04,226.85299682617188,94.71997833251953,169.45196533203125,25.43691635131836
2015-02-05,217.11099243164062,95.53945922851562,171.16256713867188,25.802289962768555
2015-02-06,222.26600646972656,94.95935821533203,170.6892547607422,25.808752059936523
2015-02-07,227.75399780273438,94.95935821533203,170.6892547607422,25.808752059936523
2015-02-08,223.41200256347656,94.95935821533203,170.6892547607422,25.808752059936523
2015-02-09,220.11000061035156,94.6555404663086,169.92530822753906,25.834623336791992
2015-02-10,219.83900451660156,96.1287612915039,171.73553466796875,25.821687698364258
2015-02-11,219.18499755859375,96.47867584228516,171.835205078125,25.6406307220459
2015-02-12,221.76400756835938,97.60198974609375,173.4877471923828,25.976898193359375
2015-02-13,235.427001953125,98.43991088867188,174.2018585205078,26.52655792236328
2015-02-14,257.3210144042969,98.43991088867188,174.2018585205078,26.52655792236328
2015-02-15,234.8249969482422,98.43991088867188,174.2018585205078,26.52655792236328
2015-02-16,233.84300231933594,98.43991088867188,174.2018585205078,26.52655792236328
2015-02-17,243.61000061035156,98.53199005126953,174.47592163085938,26.607393264770508
2015-02-18,236.3260040283203,98.67012023925781,174.4924774169922,26.290523529052734
2015-02-19,240.2830047607422,99.1581039428711,174.36793518066406,26.167654037475586
2015-02-20,243.7790069580078,99.82105255126953,175.414306640625,26.04155158996582
2015-02-21,244.53399658203125,99.82105255126953,175.414306640625,26.04155158996582
2015-02-22,235.9770050048828,99.82105255126953,175.414306640625,26.04155158996582
2015-02-23,238.89199829101562,99.92234802246094,175.38938903808594,25.93485450744629
2015-02-24,238.73500061035156,99.9959945678711,175.88754272460938,26.00599479675293
2015-02-25,237.47000122070312,99.74739837646484,175.73809814453125,26.148256301879883
2015-02-26,236.42599487304688,100.2538070678711,175.53045654296875,25.663249969482422
2015-02-27,253.8280029296875,99.81185913085938,174.9326171875,25.55007553100586
2015-02-28,254.26300048828125,99.81185913085938,174.9326171875,25.55007553100586
2015-03-01,260.2019958496094,99.81185913085938,174.9326171875,25.55007553100586
2015-03-02,275.6700134277344,100.71421813964844,176.03701782226562,25.372251510620117
2015-03-03,281.7019958496094,100.24462890625,175.31459045410156,25.46601676940918
2015-03-04,273.0920104980469,99.85791015625,174.57557678222656,25.430452346801758
2015-03-05,276.1780090332031,100.0328598022461,174.76658630371094,25.278474807739258
2015-03-06,272.7229919433594,98.90025329589844,172.30856323242188,24.825809478759766
2015-03-07,276.260986328125,98.90025329589844,172.30856323242188,24.825809478759766
2015-03-08,274.35400390625,98.90025329589844,172.30856323242188,24.825809478759766
2015-03-09,289.60699462890625,99.18572235107422,173.02268981933594,24.647968292236328
2015-03-10,291.760009765625,97.34417724609375,170.2159423828125,24.305240631103516
2015-03-11,296.3789978027344,96.7824935913086,169.81735229492188,24.376375198364258
2015-03-12,294.35400390625,97.41785430908203,171.97637939453125,24.221174240112305
2015-03-13,285.3370056152344,96.99429321289062,170.92176818847656,24.130634307861328
2015-03-14,281.885009765625,96.99429321289062,170.92176818847656,24.130634307861328
2015-03-15,286.39300537109375,96.99429321289062,170.92176818847656,24.130634307861328
2015-03-16,290.5929870605469,98.24653625488281,173.20541381835938,24.457202911376953
2015-03-17,285.5050048828125,98.40308380126953,172.69053649902344,24.363433837890625
2015-03-18,256.29901123046875,99.369873046875,174.76658630371094,25.071544647216797
2015-03-19,260.9280090332031,99.5171890258789,173.96937561035156,24.673843383789062
2015-03-20,261.7489929199219,100.161376953125,175.50498962402344,25.036808013916016
2015-03-21,260.0249938964844,100.161376953125,175.50498962402344,25.036808013916016
2015-03-22,267.9599914550781,100.161376953125,175.50498962402344,25.036808013916016
2015-03-23,266.739990234375,99.96756744384766,175.1629180908203,24.948911666870117
2015-03-24,245.59500122070312,99.60765075683594,174.1787109375,24.782886505126953
2015-03-25,246.19700622558594,97.32808685302734,171.62631225585938,25.10517120361328
2015-03-26,248.53199768066406,96.99585723876953,171.2176513671875,25.075878143310547
2015-03-27,247.0290069580078,97.38346862792969,171.60968017578125,24.87078857421875
2015-03-28,252.79800415039062,97.38346862792969,171.60968017578125,24.87078857421875
2015-03-29,242.71299743652344,97.38346862792969,171.60968017578125,24.87078857421875
2015-03-30,247.5260009765625,98.50017547607422,173.70326232910156,25.404661178588867
2015-03-31,244.2239990234375,97.45732116699219,172.1851806640625,25.254919052124023
2015-04-01,247.27200317382812,96.94970703125,171.57632446289062,25.2484073638916
2015-04-02,253.0050048828125,97.01432800292969,172.1935272216797,25.30048942565918
2015-04-03,254.32200622558594,97.01432800292969,172.1935272216797,25.30048942565918
2015-04-04,253.69700622558594,97.01432800292969,172.1935272216797,25.30048942565918
2015-04-05,260.5979919433594,97.01432800292969,172.1935272216797,25.30048942565918
2015-04-06,255.49200439453125,97.80802917480469,173.35293579101562,25.756244659423828
2015-04-07,253.17999267578125,97.64189147949219,172.8942108154297,25.772518157958984
2015-04-08,245.02200317382812,98.4171142578125,173.4781036376953,25.564189910888672
2015-04-09,243.67599487304688,99.03543853759766,174.2454833984375,25.974349975585938
2015-04-10,236.07200622558594,99.44154357910156,175.19630432128906,26.088275909423828
2015-04-11,236.552001953125,99.44154357910156,175.19630432128906,26.088275909423828
2015-04-12,236.1529998779297,99.44154357910156,175.19630432128906,26.088275909423828
2015-04-13,224.58700561523438,99.19235229492188,174.40390014648438,25.82785415649414
2015-04-14,219.15899658203125,98.90623474121094,174.7375946044922,26.293373107910156
2015-04-15,223.83299255371094,99.52459716796875,175.5216522216797,26.92165184020996
2015-04-16,228.572998046875,99.3861312866211,175.47157287597656,26.859790802001953
