Date,BTC-USD,QQQ,SPY,XLE
2015-01-03,-0.11402781772464736,0.0,0.0,0.0
2015-01-04,-0.061958949741243954,0.0,0.0,0.0
2015-01-05,0.03816904066200965,-0.01477752433128015,-0.01822457606077615,-0.042248102353390445
2015-01-06,0.0417958802770686,-0.013498867190992598,-0.009463782348158771,-0.01479948187862057
2015-01-07,0.0280729729527459,0.012808754000979831,0.012384309893044022,0.002127702269330535
2015-01-08,-0.038046038508232904,0.01895867517891682,0.0175896770042071,0.022201423041530506
2015-01-09,0.02460744467252288,-0.006604482666186954,-0.008045870615609955,-0.007956718532441252
2015-01-10,-0.05525782685593136,0.0,0.0,0.0
2015-01-11,-0.03381165828602173,0.0,0.0,0.0
2015-01-12,0.008008149758100299,-0.010481493942522959,-0.00786446730035309,-0.02923393922167696
2015-01-13,-0.17030572694913534,-0.0002955764741994932,-0.002816683043608381,-0.007987842551242595
2015-01-14,-0.23755771549530522,-0.005531418275227961,-0.006055606329602521,0.003121718474986711
2015-01-15,0.164002352794029,-0.013060368210557696,-0.009202536410093106,-0.012819390960307136
2015-01-16,-0.008360051860799687,0.011672493659929036,0.013028688757764742,0.032010740636035935
2015-01-17,-0.043393840687305896,0.0,0.0,0.0
2015-01-18,0.05411005929718177,0.0,0.0,0.0
2015-01-19,0.02127073585047844,0.0,0.0,0.0
2015-01-20,-0.016641349425745678,0.007903854845279494,0.002130335193346878,0.001195228070185834
2015-01-21,0.07114626123199319,0.005103846332279741,0.005035515978173479,0.020109831337093025
2015-01-22,0.02828326756390444,0.018334930326350505,0.014761564012930077,0.004673450886940024
2015-01-23,-0.002260455630801953,0.002208607094631206,-0.005498304916777667,-0.007148928716825962
2015-01-24,0.06229262485473296,0.0,0.0,0.0
2015-01-25,0.023411802380044453,0.0,0.0,0.0
2015-01-26,0.07497944406522498,-0.001151749647085302,0.00233940793962612,0.014247188667980018
2015-01-27,-0.03724435725045598,-0.02626844625937177,-0.013278356560017144,-0.0006433563662512639
2015-01-28,-0.11900073718364432,-0.005139483757685046,-0.01290721971687277,-0.04017356180243638
2015-01-29,-0.0017200206333921858,0.009565757148101907,0.009200945938497688,0.00334349187507757
2015-01-30,-0.030823974429389264,-0.007783572464691601,-0.01265442661774919,0.008640714173463838
2015-01-31,-0.040380437381728564,0.0,0.0,0.0
2015-02-01,0.04279332203631927,0.0,0.0,0.0
2015-02-02,0.04840574994570224,0.008666253462754655,0.012307950228177341,0.030117729878969393
2015-02-03,-0.04710245086441019,0.009564019645897604,0.014357416600647302,0.02698905432835395
2015-02-04,-0.0018277448453036722,-0.0008745977744129269,-0.003814885393832479,-0.01663932370589904
2015-02-05,-0.0438935079933491,0.008614725519871308,0.010044291823085527,0.014261357045717972
